品名,價格
骨頭造型狗狗磨牙玩具(磨牙棒 耐啃咬 潔牙骨 狗牙刷 牙結石 益智 寵物用品 牙齒清潔),$195(售價已折)
寵物錄音按鈕互動鈴(錄音鈴 玩具鈴 寵物鈴 寵物訓練 寵物交流 寵物互動 益智玩具 寵物玩具 寵物用品),$220(售價已折)
【PAWS FAMILIA 爪子本舖】寵物機能衝鋒衣-楓葉(寵物外出用品/寵物用品/寵物服飾/寵物雨衣/雨衣/衝鋒衣),$643(售價已折)
【寵物用品】可折疊飼養箱 爬蟲飼養盒(飼養盒 寵物箱 觀察箱),$874(售價已折)
【CattyMan】貓用防水除蚤順毛梳(寵物用品),$396(售價已折)
日系可調節貓咪透氣吊床(貓窩 貓床 睡窩 睡床 貓掛床 貓跳床 貓吊床 寵物吊床 寵物用品),$195(售價已折)
【Doggy Man】犬用凹凸慢食止滑碗-S(寵物用品),$291(售價已折)
寵物自動飲水餵食器(狗碗 寵物碗 飼料碗 寵物用品 禮物 餵食器 水杯 貓狗 毛小孩 水盆),$242(售價已折)
【ENJOY LIFE 樂享生活】旋轉風車貓漏食玩具(多色任選 磨牙器 逗貓 蹭癢 貓用品 寵物用品 寵物潔牙),$159(售價已折)
【典贊創意】天然原木潔齒玩具(狗狗磨牙啃咬健齒玩具 耐磨狗玩具 磨牙玩具 啃咬玩具 狗狗玩具 寵物用品),$601(售價已折)
【賀拉HORLA生活家居】大款貓窩四季可疊加貓咪床房子家具屋寵物用品(寵物床 貓窩 狗窩 睡床睡墊),$451(售價已折)
寵物發聲發光球(磨牙 耐咬 玩具球 訓練球 狗狗玩具 發聲玩具 寵物用品 寵物互動),$245(售價已折)
【寵愛寵物】寵物清潔理毛針梳(去浮毛 寵物梳 廢毛梳 除毛梳 梳毛器 寵物理毛 寵物用品 貓狗通用),$269
【WILL設計+寵物用品】WB款加大極透氣款外出包(經典斑馬紋),"$1,988(售價已折)"
【聚優】寵物墊(車用寵物墊 車載寵物墊 汽車寵物墊 寵物車墊 狗狗防水防髒后座墊子 寵物用品),$350(售價已折)
【ROYALLIN 蘿林嚴選】高品質陶瓷刀頭電動剪毛器(寵物剃毛 寵物 貓 狗 剃毛刀  電動剪毛器 寵物用品),$509(售價已折)
【AOYI奧藝】籐編四季寵物窩 清新田園風寵物床睡墊(寵物用品 貓床 狗床 蒲草窩型貓抓板 內附軟墊+抱枕),$608(售價已折)
【寵物美容】USB充電款專業寵物修毛機(剃毛器 剃毛機 除毛機 修剪器 理毛器 電推剪 電動剃毛 寵物用品),$339(售價已折)
【巴芙洛】舒適木製免打孔懸掛式加寬寵物貓吊床/貓床(調節式貓掛床/貓吊床/貓窩/寵物用品/貓床),$523(售價已折)
【寵物夢工廠】實木鈴鐺逗貓棒3入(貓玩具/貓用品/逗貓神器/寵物玩具/寵物用品),$153(售價已折)
【CATIDEA 貓樂適】全罩式貓砂盆 L(貓砂盆 貓用品 貓廁所 寵物用品),"$1,380"
龍蝦寵物舒適頭套圈(脖圈 防咬圈 防舔頭套 防咬頭套 寵物頭套 術後頭套 寵物用品 伊莉莎白圈),$220(售價已折)
【STAR CANDY】寵物按摩除毛梳 免運費(一鍵式 自動除毛梳 除毛刷 寵物美容 貓狗梳子 寵物用品 寵物理毛),$169
厚款可分解寵物垃圾袋-135入(撿便袋 拾便帶 便便袋 狗屎袋 糞便袋 寵物用品 寵物外出),$245(售價已折)
【OMG】貓咪玩具彩虹球5入組 微彈力逗貓靜音球 寵物貓咪自嗨玩具(寵物用品),$219(售價已折)
寵物橄欖球耐咬玩具(磨牙 玩具球 訓練球 狗狗玩具 發聲玩具 寵物用品 寵物互動),$245(售價已折)
【多功能清潔刷】雙頭寵物潔牙專用刷-5入(狗貓牙刷 寵物牙刷 細軟毛牙刷 犬貓清潔 口腔清潔 寵物用品),$199
【京太陽】95x95cm仿真草皮地板(草皮 人造草皮 裝飾 裝潢 仿真人造草皮 地板 地墊 寵物用品),$463(售價已折)
唐草色蝴蝶結項圈(頸圈 貓項圈 狗項圈 貓領結 寵物項圈 寵物用品),$220(售價已折)
【YOUPICK】大型貓狗寵物電子秤 50kg UC0105(寵物用品 幼寵電子秤 體重秤),"$1,049(售價已折)"
【寵物用品】貓型倉鼠透明浴室盆13x8x9cm(天竺鼠/黃金鼠/老鼠/刺蝟/蜜袋鼯),$249
寵物外出便攜撿便器(遛狗 拾便器 夾便器 撿屎器 拾便袋 鏟屎器 糞便夾 寵物外出 寵物用品),$286(售價已折)
自動循環餵水器/半透明(寵物用品/多種顏色可選),$737(售價已折)
【良物造】除毛救星 寵物浮毛刷(寵物用品 理毛器具 梳毛器 貓狗適用),可訂購時通知我$374(售價已折)
【ROYALLIN 蘿林嚴選】貓狗門洞可控制出入方像寵物門(寵物門 寵物 貓 狗 寵物用品 門),$551(售價已折)
【ENJOY LIFE 樂享生活】時尚寵物自動牽引繩-5M(多色任選/寵物牽繩/伸縮牽繩/寵物拉繩/寵物用品/貓狗用品),$294(售價已折)
【寵物用品】倉鼠飛碟靜音跑輪1入(倉鼠玩具/小寵玩具),$499
【WILL設計+寵物用品】WB款極透氣款外出包(宇宙黑+經典斑馬紋),"$1,635(售價已折)"
【CattyMan】貓用懸掛式自動逗貓玩具-蜜蜂(寵物用品),$124(售價已折)
【寵物用品】寵物抓癢神器3入組(寵物按摩 貓薄荷 理毛 寵物梳 除毛梳 蹭毛器 牆角梳),$219
撞色風寵物飼料鏟-2入(貓糧 狗糧 飼料勺 食物鏟 糧食勺 糧食鏟 飼料匙 寵物用品),$183(售價已折)
【Doggy Man】犬用自然素材棉質潔牙拉索玩具-L(寵物用品),$328(售價已折)
【Jo Go Wu】魔術風琴貓抓板/變形貓抓板1入(貓抓盆/貓爪床/磨爪器/寵物用品/貓抓窩),$253(售價已折)
【ROYALLIN 蘿林嚴選】四季可拆卸貓窩(寵物窩 貓咪睡窩 貓屋 可拆洗 寵物用品 四季寵物窩),$746(售價已折)
【毛孩好朋友】高質感S型彎曲貓隧道(貓隧道 貓咪隧道 S型貓隧道 兔子隧道 寵物隧道 貓玩具 寵物用品),$459
【DREAMCATCHER】寵物收納階梯 3層睡窩款(寵物階梯/寵物窩/寵物用品/輔助樓梯/寵物梯),"$1,303(售價已折)"
【寵毛連線】貓臉造型寵物不鏽鋼斜口碗(貓碗 狗碗 寵物用品),$230(售價已折)
【神經貓】可折疊帳篷寵物用品貓咪產房(寵物帳篷/寵物產房/寵物籠/寵物窩/寵物圍籠),$956(售價已折)
【OMG】工字型翅膀寵物胸背 貓咪外出牽引繩 貓咪項圈 寵物用品,$302(售價已折)
【賀拉HORLA生活家居】物狗窩貓窩狗墊子金毛泰迪保暖四季窩墊子寵物用品(狗床墊貓墊子寵物床墊),$211(售價已折)
寵物慢食餵食器(狗碗 慢食碗 緩食碗 寵物碗 飼料碗 防噎碗 寵物用品 禮物),$163(售價已折)
【CATIDEA 貓樂適】全罩式貓砂盆 XL(貓砂盆 貓用品 貓廁所 寵物用品),"$1,790"
【STAR CANDY】寵物濕紙巾 80抽 免運費(貓犬通用 抗菌濕紙巾 狗狗濕紙巾 貓咪濕紙巾 寵物用品 寵物清潔),$169
【聚優】寵物門(貓狗進出門 貓洞 狗洞 自動寵物門  貓門 狗門 寵物活動門 寵物進出 寵物用品 生活用品),$514(售價已折)
【WILL設計+寵物用品】極輕超透氣外出包{新M尺寸}(斑馬紋),"$1,053(售價已折)"
【寵毛連線】寵物除毛滾輪(毛髮清理 除毛刷 黏毛器 寵物用品),$212(售價已折)
【Pet Universe 多寵宇宙】一把帶水箱的寵物梳子(藍色 粉色 長毛款 短毛款 貓毛梳 狗毛梳 去浮毛 寵物用品),$399
【寵物用品】一鍵式寵物除毛圓頭鋼梳(附保護蓋 針梳 寵物梳 廢毛梳 除毛梳 脫毛梳 寵物理毛 寵物美容),$224(售價已折)
【ROYALLIN 蘿林嚴選】摩登新款寵物圍攔家用格離網(貓圍欄 狗圍欄 免鑽孔 門欄 防護  寵物用品),$469(售價已折)
【賀拉HORLA生活家居】貓窩桌子(貓屋桌 寵物窩 貓咪睡窩 貓屋 寵物窩 寵物用品 床頭櫃 床邊桌子),$899(售價已折)
【PAWS FAMILIA爪子本舖】寵物機能衝鋒衣(寵物雨衣/寵物外出雨衣/寵物服飾/雨衣/寵物用品/外出用品),$643(售價已折)
【Pet and Pets 喵旺家族】Swift 寵物推車(輕量 貓推車 狗推車 寵物車 寵物外出 寵物用品),"$2,624(售價已折)"
懸掛式寵物自動餵食器(防打翻 掛籠碗 寵物碗 飼料碗 飼料器 籠用碗 寵物碗架 寵物用品),$327(售價已折)
【寵倍彼】寵物充電式剃腳毛機 電動磨甲機(磨甲機/寵物用品/指甲剪),$499
【珍寵】可拓展寵物雙肩背包(/單肩背包/外出袋/貓包包/狗包包/提袋/寵物用品外出),"$1,049(售價已折)"
【PAWS FAMILIA 爪子本舖】寵物機能保暖衣(寵物外出用品/寵物用品/寵物服飾/保暖衣/機能保暖衣),$919(售價已折)
【寵物用品】戶外懸掛式六角亭餵鳥器(小鳥/鴿子/喂鳥器/飼料食槽),$329
【珍寵】透氣寵物外出包(/單肩背包/外出袋/貓包包/狗包包/提袋/寵物用品外出),$811(售價已折)
三節伸縮逗貓棒(寵物用品/多種顏色可選),$122(售價已折)
冰淇淋造型貓砂鏟收納組(貓鏟 貓沙鏟 貓便鏟 貓砂盆 可壁掛 寵物清理 寵物用品),$242
【聚優】寵物墊(車用寵物墊 車載寵物墊 汽車寵物墊 寵物車墊 狗狗防水防髒后座墊子 寵物用品),$468(售價已折)
【寵毛連線】貓造型寵物護頸斜口碗(貓碗 狗碗 寵物用品),$194(售價已折)
【AFAMIC 艾法】狗貓寵物透氣戶外雨衣防寒衝鋒機能衣(多尺寸 防水雨衣 大狗小狗衣服 寵物外出 寵物用品),$803(售價已折)
狗狗背心式牽引繩/M號/胸圍37-47cm(寵物用品/多種顏色可選),$132(售價已折)
【智能餵食器】寵物智能餵食器 AH-416(六格 自動餵食器 智能 定時定量 餵食 寵物用品 貓狗 飼料機 甜甜圈),"$1,007(售價已折)"
【ROYALLIN 蘿林嚴選】四季保暖狗窩 加大款(寵物床 狗窩 保暖 貓窩 寵物 寵物用品),$633(售價已折)
【MODODO 摸宇宙漫步胸背帶 寵物胸背帶(寵物用品 胸背帶 牽繩 胸背衣 外出用品 寵物服飾 寵物衣 寵物商品),$990
二合一寵物外出隨行杯(外出杯 隨行杯 飲水杯 飲水器 飼料杯 喝水杯 寵物水壺 寵物用品),$269(售價已折)
簡約可調式寵物碗架(貓碗 狗碗 餵食碗 護頸碗 寵物用品 寵物餵食容器),$515(售價已折)
【NuoBIXING】摺疊寵物帳篷狗貓窩寵物籠子待產房(寵物用品/矩形貓產房),$851(售價已折)
【KCS 嚴選】折疊式寵物烘乾箱-L號(寵物美容/寵物/吹風機/寵物吹水機/寵物用品),"$2,286(售價已折)"
逗貓棒替換頭毛毛蟲(寵物用品),$113(售價已折)
【寵物用品】滾筒式可水洗寵物靜電除毛刷(貓毛 毛髮 清理器 地毯清潔 寵物用品 除塵刷 衣物 靜電刷 黏毛器),$341(售價已折)
耐磨斜紋電鍍項圈(頸圈 貓項圈 狗項圈 遛狗 寵物項圈 寵物用品),$245(售價已折)
【PAWS FAMILIA 爪子本舖】寵物自動伸縮牽引繩-5米(寵物牽繩/伸縮牽繩/寵物用品/寵物外出用品/牽引繩),$368(售價已折)
【瑪莉洋】布淨淨-寵物專用無香洗衣精1000ml(寵物用品/環境清潔/寵物織品清潔),$405(售價已折)
【寵物愛家】寵物用品劍麻貓樹貓抓貓跳台玩具-雙魚拚色(貓跳台),$650(售價已折)
【WILL設計+寵物用品】推車專用底部船行置物籃(質感黑),$319(售價已折)
寵物生日帽(寵物蛋糕帽 萬聖節生日造型 狗狗頭套 貓咪頭套 慶生帽 蛋糕帽 雞腿帽 生日帽 寵物用品),$899
【寵物用品】寵物尿布 公狗12片 S號(15-30cm),$219
【瑪莉洋】萬寧膠7gx3瓶(寵物用品/貓狗護理/外傷保護),$324(售價已折)
【點點喵】方形雙層貓抓板(寵物用品/貓咪用品/貓抓板/多種用途/貓屋/耐磨/耐抓),$245(售價已折)
【CLEAN 克林】瞇瞇喵 造型貓抓板(貓抓板 磨爪 貓抓窩 瓦楞紙 寵物用品 貓咪玩具 貓奴 貓薄荷),$151(售價已折)
寵物狗狗玩具巨大網球十倍快樂球-附打氣筒(寵物球 寵物互動 寵物玩具 寵物用品 寵物訓練),$351(售價已折)
【DR.Cat】超活力彈跳滿分逗貓仿真魚貓玩具F001(寵物用品 逗貓 寵物玩具 貓玩具),$409(售價已折)
【YOUPICK】貓狗寵物電子秤 20kg UC0105(寵物用品 幼寵電子秤 體重秤),$926(售價已折)
【寵物用品】寵物尿布 母狗 XXS號 10片(14-28cm),$159
【LEZUN】貓咪貓抓板 大型貓抓墊 貓咪玩具(吊床 貓抓板 寵物用品 貓咪玩具),$699
寵物隨行杯-粉(飲水瓶 飲水器 喝水器 餵水器 寵物水壺 寵物外出 寵物用品),$286(售價已折)
【寵物夢工廠】伸縮釣竿逗貓棒 五款替換頭(超值組合 彩色羽毛 彈力杆 釣貓咪 寵物用品 寵物玩具),$215(售價已折)
反光透氣寵物背帶(遛狗 胸背☆ 牽引繩 外出背帶 寵物牽繩 寵物用品 透氣胸背帶 寵物外出用品),$212(售價已折)
【CLEAN 克林】瞇瞇喵 特大款劍麻貓抓墊 50*80cm(顏色隨機 磨爪 貓抓窩 貓床 天然 安全 寵物用品 貓咪玩具),$377(售價已折)
【ENJOY LIFE 樂享生活】造型旋轉貓薄荷球&木天蓼(貓零食/貓草/磨牙/潔牙棒/貓薄荷/寵物用品),$143(售價已折)
寵物磨牙玩具-2入(耐咬 狗狗玩具 狗狗牙刷 磨牙棒 潔齒 潔牙玩具 寵物用品),$245(售價已折)
【梳毛神器】寵物按摩梳(去浮毛梳子 寵物梳子 除毛刷 貓咪 寵物理毛器 寵物用品),$242
【PAWS FAMILIA 爪子本舖】寵物機能衝鋒衣-潑墨灰(寵物外出用品/寵物用品/寵物服飾/寵物雨衣/雨衣/衝鋒衣),$643(售價已折)
【衣物除塵】純銅手動去毛球刮毛器(清除刷 理毛梳 黏毛刷 梳毛刷 除毛器 除塵刷 寵物用品 黏毛器),$199
【WILL設計 + 寵物用品】經典時尚 PB款包(經典斑馬紋),"$1,238(售價已折)"
【寵物用品】寵物梳毛器(針梳 除毛刷 除毛梳 理毛梳 除廢毛 按摩梳 貓狗用品),$182(售價已折)
【寵物用品】壓克力爬蟲飼養盒 觀察箱(兩棲爬蟲箱 寵物箱),$166(售價已折)
【寵物愛家】寵物用品透氣手提肩背寵物太空包(寵物外出用品),$650(售價已折)
【貓咪吊床】AH-369 貓吊床_懸掛喵吊床(吸盤貓咪吊床 免吸盤貓窩 寵物用品 寵物吊床 窗邊貓掛床),$587(售價已折)
【寵物用品】除毛手套 右手(紫色/紅色),$129
【宜德居家】韓國毛髮收割器(貓毛 毛髮 清理器 地毯清潔 寵物用品 除塵刷 衣物 靜電刷 黏毛器),$315(售價已折)
【May shop】寵物用品折疊狗狗狗窩墊 露營行軍床 摺疊床 離地床,$808(售價已折)
【ENJOY LIFE 樂享生活】寵物潔牙指套濕紙巾(50片*5入 共150片 寵物用品 牙齒清潔 刷牙濕巾 貓狗清潔手套),$799(售價已折)
【Merryoung 瑪莉洋】寵齒立淨漱口水300ml/罐(寵物用品/貓狗護理/口腔清潔),$306(售價已折)
【寵物用品】寵物薄冰絲涼感墊寵物睡墊(藍色),$200(售價已折)
【PETA】LED發光伸縮寵物牽引繩(寵物用品狗繩狗鍊),$615(售價已折)
【May shop】寵物用品衣物掛架 圓木三角置物掛架,$637(售價已折)
【CLEAN 克林】瞇瞇喵 加大版劍麻貓抓墊 40*60cm(顏色隨機 磨爪 貓抓窩 貓床 天然 安全 寵物用品 貓咪玩具),$258(售價已折)
【DREAMCATCHER】寵物收納階梯 3層收納款(寵物階梯 摺疊收納梯 寵物用品 輔助樓梯 寵物梯 寵物窩),"$1,065(售價已折)"
【寵物夢工廠】L號 / 藍色點點保暖方窩 寵物床 狗保暖墊(舒適窩 寵物保暖窩 寵物用品),$307(售價已折)
【DR.Story】寵物用品寵愛必備安撫貓咪小手套(貓玩具 療癒小物 逗貓 逗貓棒),$384(售價已折)
【寵物愛家】寵物用品劍麻貓樹貓抓貓跳台玩具-魚底+跳台(貓跳台),$650(售價已折)
【May Shop】八角寵物圍籠狗狗戶外帳篷牛津布貓籠寵物用品圍欄,$577(售價已折)
【CLEAN 克林】瞇瞇喵 親親寶貝貓抓碗 小型 33*33*6cm(貓抓碗 貓抓板 磨爪 瓦楞紙 寵物用品 貓咪玩具 貓奴),$229(售價已折)
【典贊創意】外星寵順毛神器(貓針梳除毛梳寵物梳子去毛梳按摩梳寵物用品貓梳狗梳兔梳),$278(售價已折)
【毛孩好朋友】高質感T型貓隧道(貓隧道 貓咪隧道 T型隧道 兔子隧道 寵物隧道 貓玩具 寵物玩具 寵物用品),$439
【igo】雙子星餵食器+飲水機木架(實木製 寵物用品碗架 支架),"$1,615(售價已折)"
【Animali】寵物專用清新潔齒指套-50入(寵物用品 寵物牙齒清潔 刷牙 指套濕巾 貓狗用品),可訂購時通知我$320
【小美紀】遛狗便便器11Q(遛狗神器 溜狗 遛狗 便盆 狗便袋 犬便器 寵物用品),$962(售價已折)
【寵物夢工廠】可愛動物棉麻繩球(貓磨爪 逗貓玩具 熊貓造型 球玩具 寵物玩具 貓抓球 貓抓板 寵物用品),$307(售價已折)
【PET PARADISE】寵物用品-床 方形 時尚灰 M(寵物窩 寵物睡窩),"$2,009(售價已折)"
毛絨貝殼貓窩 AH-468(貓窩 狗窩 貓床 貓咪睡墊 軟窩 貓咪用品 寵物用品 小狗窩 四季貓墊 狗墊子),$484(售價已折)
【寵物愛家】寵物用品劍麻貓樹貓抓貓跳台玩具-魚底+跳台(貓跳台),$650(售價已折)
【寵物愛家】愛寵肥宅時尚系列飲水餵食2入組日常寵物用品(寵物餐碗),$887(售價已折)
【寵毛連線】寵物尿布墊-加厚款(尿墊 寵物用品),$469
【CLEAN 克林】瞇瞇喵 一起趣 貓抓碗 小型 33*33*6cm(貓抓板 磨爪 瓦楞紙 寵物用品 貓咪玩具 貓奴 貓薄荷),$229(售價已折)
【PAWS FAMILIA 爪子本舖】寵物清潔除毛針梳(寵物用品 寵物外出用品 寵物美容用品 除毛梳 針梳 貓狗),$441(售價已折)
魔術風琴貓抓板(貓窩 貓玩具 耐磨耐抓 寵物用品 寵物玩具 變形貓抓板 可折疊瓦楞紙),$257(售價已折)
【寵物用品】小鳥吊床遊戲窩(鳥窩S),$228(售價已折)
【PETA】寵物毛絨耐咬貓薄荷玩具-灰色皇冠恐龍(互動玩樂寵物用品貓玩具),$123(售價已折)
寵物漏食不倒翁玩具(漏食器 漏食玩具 慢食訓錬 寵物玩具 滾輪玩具 貓狗通用 寵物用品),$277(售價已折)
【Doggy Man】犬用玉米牛奶味磨牙骨2入 SS(寵物用品),$146(售價已折)
【點點喵】風琴貓抓板(寵物用品/貓咪用品/人寵互動/貓抓板/多種玩法/耐磨/耐抓),$261(售價已折)
【May Shop】八角寵物圍籠狗狗戶外帳篷牛津布貓籠寵物用品圍欄,$577(售價已折)
【寵物愛家】寵物用品劍麻貓樹貓抓貓跳台玩具-雙魚拚色(貓跳台),$650(售價已折)
【PETA】寵物用品貓咪自嗨解悶啃咬逗貓玩具球(鈴鐺彩色毛線球)3入,$230(售價已折)
